date,location,category,title,source_url
11/27/2025,"El Paso, TX",Concerning Arrest/Detention,ICE detains country singer's brother-in-law on his way to Nashville - News Channel 5(opens in a new tab),https://www.newschannel5.com/news/ice-detains-country-singers-brother-in-law-on-his-way-to-nashville
11/26/2025,"Detroit, MI",Concerning Arrest/Detention,Detroit teenagers were detained by ICE. They're now being held in Texas - MLIVE(opens in a new tab),https://www.mlive.com/news/2025/12/detroit-teenagers-were-detained-by-ice-theyre-now-being-held-in-texas.html
11/26/2025,"New York City, NY",Concerning Arrest/Detention,"Father, 6-year-old son allegedly separated after being detained by ICE in NYC - CBS News(opens in a new tab)",https://www.cbsnews.com/newyork/news/nyc-father-son-detained-by-ice-separated/
11/25/2025,"St. Paul, MN",Concerning Arrest/Detention,Family of man swept up in St. Paul ICE raid say agents entered house without a warrant - Sahan Journal(opens in a new tab),https://sahanjournal.com/immigration/st-paul-ice-raid-family-speaks-out/
11/25/2025,"St. Paul, MN",Concerning Use of Force,"Man detained by ICE as federal agents, police clash with protesters in St. Paul, chemical irritants deployed - CBS News(opens in a new tab)",https://www.cbsnews.com/minnesota/news/federal-agents-st-paul-clash-nov-25-2025/
11/24/2025,"New York City, NY",Concerning Arrest/Detention,A New York Marriage is Torn Apart by ICE - Documented(opens in a new tab),https://documentedny.com/2025/12/02/a-new-york-marriage-torn-apart-by-ice/
11/22/2025,"Oklahoma City, OK",Concerning Arrest/Detention,OU College of International Studies professor reportedly arrested by ICE - OU Daily(opens in a new tab),https://www.oudaily.com/news/ou-professor-arrest-ice-immigration-and-customs-enforcement/article_22f9ca06-9ed3-4df2-8f3d-08a5464d017f.html
11/21/2025,"McMinnville, OR","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen","High school senior, a U.S. citizen, detained by ICE in Oregon - The Oregonian/OregonLive(opens in a new tab)",https://www.oregonlive.com/portland/2025/11/high-school-senior-in-oregon-a-us-citizen-detained-by-ice.html
11/20/2025,"Providence, RI",Concerning Arrest/Detention,RI Supreme Court justice rips ICE after intern 'wrongfully' detained - USA Today(opens in a new tab),https://www.usatoday.com/story/news/politics/courts/2025/11/20/ri-judge-steps-in-to-save-intern-after-ice-wrongfully-detains-them/87381451007/
11/20/2025,"Detroit, MI",Concerning Arrest/Detention,Detroit teenagers were detained by ICE. They're now being held in Texas. - MLIVE(opens in a new tab),https://www.mlive.com/news/2025/12/detroit-teenagers-were-detained-by-ice-theyre-now-being-held-in-texas.html
11/20/2025,"San Diego, CA",Concerning Arrest/Detention,Green Card Interviews End in Handcuffs for Spouses of U.S. Citizens - The New York Times(opens in a new tab),https://www.nytimes.com/2025/11/26/us/trump-green-card-interview-arrests.html
11/20/2025,"Canby, OR","Concerning Arrest/Detention, U.S. Citizen",Oregon coalition says ICE detained four US citizens in Oregon this week - KATU(opens in a new tab),https://katu.com/news/local/oregon-coalition-says-ice-detained-four-us-citizens-in-oregon-this-week
11/20/2025,"Long Beach, CA","Concerning Use of Force, Concerning Arrest/Detention","Amid string of raids, immigration agents chase gardener, tackle him in front of LBPD officers, witnesses say - Long Beach Post News(opens in a new tab)",https://lbpost.com/news/ice-raid-long-beach-pollys-pies-lbpd/
11/20/2025,"Boston, MA","Concerning Arrest/Detention, Concerning Deportation",19-year-old college student deported despite judge's order blocking her removal : Lawyer - ABC News(opens in a new tab),https://abcnews.go.com/US/19-year-college-student-deported-despite-judges-order/story?id=127914941
11/18/2025,"Cary, NC","Concerning Arrest/Detention, U.S. Citizen",They basically just kidnapped me': US citizen taken by Border Patrol in Cary - USA Today(opens in a new tab),https://www.usatoday.com/story/news/local/2025/11/24/us-citizen-taken-by-border-patrol-cary-nc/87393735007/
11/18/2025,"San Diego, CA",Concerning Arrest/Detention,ICE arrests at San Diego green card interviews include military spouses - NBC News(opens in a new tab),https://www.nbcnews.com/news/us-news/ice-arrests-san-diego-green-card-interviews-include-military-spouses-rcna246851
11/17/2025,"San Diego, CA",Concerning Arrest/Detention,ICE detains Diabetic Norwegian Woman at Green Card Interview - Newsweek(opens in a new tab),https://www.newsweek.com/ice-detains-diabetic-norwegian-woman-green-card-interview-husband-11091459
11/17/2025,"Charlotte, NC","Concerning Use of Force, U.S. Citizen","Border Patrol breaks car window, arrest U.S. citizens -- Spectrum News 1(opens in a new tab)",https://spectrumlocalnews.com/nc/charlotte/news/2025/11/19/neighbor--border-patrol-agents-break-car-window--arrest-u-s--citizens-in-charlotte
11/17/2025,"Charlotte, NC","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen",Charlotte man says Border Patrol agents injured him as he drove for groceries - The News & Observer(opens in a new tab),https://www.newsobserver.com/news/state/north-carolina/article313002102.html
11/16/2025,"San Antonio, TX",Concerning Use of Force,"Video from North Side raid shows FBI arresting more than 150 people, destroying surveillance camera - KSAT(opens in a new tab)",https://www.ksat.com/news/local/2025/11/21/video-from-north-side-raid-shows-fbi-arresting-more-than-150-people-destroying-surveillance-camera/
11/16/2025,"Charlotte, NC","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen","Charges against NC ICE protester not true, her lawyer says | Charlotte Observer(opens in a new tab)",https://www.charlotteobserver.com/news/local/crime/article313003582.html?link_source=ta_thread_link&taid=691f98c581d1f40001b52a06&utm_campaign=trueanthem&utm_medium=social&utm_source=threads.net
11/16/2025,"Charlotte, NC","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen","Video shows ICE agents planned to ""smash"" into Charlotte man | Charlotte Observer(opens in a new tab)",https://www.charlotteobserver.com/news/local/article313029461.html
11/15/2025,"Charlotte, NC","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen",U.S. Border Patrol Launches Operation in Charlotte | The New York Times(opens in a new tab),https://www.nytimes.com/2025/11/15/us/us-border-patrol-charlotte-nc-immigration.html
11/15/2025,"Charlotte, NC",Concerning Use of Force,"Border Patrol Fans Out Across Charlotte, N.C., Arresting More Than 130 People in Two Days | The New York Times(opens in a new tab)",https://www.nytimes.com/2025/11/16/us/border-patrol-arrests-charlotte-nc.html
11/15/2025,"Charlotte, NC",Enforcement Action at a Sensitive Location,Church members flee as federal agents arrive at east Charlotte place of worship | The Charlotte Observer(opens in a new tab),https://www.charlotteobserver.com/news/politics-government/article312932422.html
11/14/2025,"Dallas, TX",Concerning Arrest/Detention,Folks aren't coming back out.': Immigrants are increasingly being detained at Dallas ICE office - KERA News(opens in a new tab),https://www.keranews.org/news/2025-11-18/folks-arent-coming-back-out-immigrants-are-increasingly-being-detained-at-dallas-ice-office
11/14/2025,"Vancouver, WA","Concerning Arrest/Detention, Concerning Use of Force",Senator Murray condemns 'horrific' ICE Dog attack on Vancouver father - Lynnwood Times(opens in a new tab),https://lynnwoodtimes.com/2025/12/07/toledo-martinez/
11/13/2025,"Queens, NY",Concerning Use of Force,Woman who group says had apartment raided by ICE speaks out - NY1(opens in a new tab),https://ny1.com/nyc/all-boroughs/news/2025/11/20/woman-who-immigration-group-says-had-apartment-raided-by-ice-speaks-out
11/12/2025,"New York City, NY",Concerning Use of Force,"Immigration Feds Rip Man From Car In Manhattan: Video | Washington Heights, NY Patch(opens in a new tab)",https://patch.com/new-york/washington-heights-inwood/immigration-feds-grab-man-out-car-manhattan-video
11/11/2025,", TX",Concerning Deportation,Trump administration 'inadvertently' deported transgender woman to Mexico despite judge's concern she may face torture there - CNN(opens in a new tab),https://www.cnn.com/2025/11/19/us/uriostegui-rios-deportation-government-lawsuit-hnk
11/11/2025,"Northfield, MN",Concerning Use of Force,Son films as father is detained by masked ICE agents in Northfield - CBS News(opens in a new tab),https://www.cbsnews.com/minnesota/news/video-of-ice-detaining-a-northfield-minnesota-man/
11/10/2025,"Temecula, CA","Concerning Arrest/Detention, Concerning Use of Force, U.S. Citizen",Off-Duty Agent Arrested After Holding US Citizen at Gunpoint - Newsweek(opens in a new tab),https://www.newsweek.com/off-duty-agent-arrested-after-holding-us-citizen-at-gunpoint-lawyer-11064094
11/09/2025,"Santa Ana, CA",Concerning Use of Force,"ICE agent points gun at woman accused of recording him, Fullerton police say - ABC7 Los Angeles(opens in a new tab)",https://abc7.com/post/ice-agent-points-gun-woman-accused-recording-fullerton-police-say/18141167/
11/08/2025,"Cicero, IL",Concerning Use of Force,1-year-old pepper-sprayed by federal agent in Cicero: 'My daughter didn't have to go through this' - Chicago Sun-Times(opens in a new tab),https://chicago.suntimes.com/immigration/2025/11/09/1-year-old-pepper-sprayed-by-federal-agent-in-cicero
11/07/2025,"Memphis, TN","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen","Tear gas deployed to home during ICE arrest, attorney says | WREG Memphis(opens in a new tab)",https://wreg.com/news/tear-gas-deployed-to-home-during-ice-arrest-attorney-says/
11/06/2025,"Fitchburg, MA",Concerning Use of Force,"Man appears to have a seizure as ICE arrests his wife, but U.S. officials push back - NBC10 Boston(opens in a new tab)",https://www.nbcboston.com/news/local/fitchburg-ice-arrest/3842060/
11/05/2025,"Cottage Grove, OR","Concerning Use of Force, Concerning Arrest/Detention",ICE detains local mother and store owner | ABC KEZI9 News(opens in a new tab),https://www.kezi.com/news/local/ice-detains-local-mother-and-store-owner/article_9b2f5568-4529-44ab-bd7d-16e27eab9b2c.html
11/05/2025,"Chicago, IL","Concerning Arrest/Detention, Enforcement Action at a Sensitive Location",Yo tengo papeles': Teacher detained by immigration agents in North Center day care - Chicago Sun Times(opens in a new tab),https://chicago.suntimes.com/immigration/2025/11/05/daycare-teacher-taken-by-ice-north-side-immigration
11/04/2025,"Cedar Rapids, IA",Concerning Arrest/Detention,Iowa family calls to halt man's deportation at Miller-Meeks town hall - Des Moines Register(opens in a new tab),https://www.desmoinesregister.com/story/news/politics/2025/11/11/daniel-angel-melendez-deportation-mariannette-miller-meeks-town-hall/87212988007/?taid=6913b8f032465a00018ad2a1
11/04/2025,"Cypress Park, CA","U.S. Citizen, Concerning Arrest/Detention",Father separated from toddler in immigration raid is released - Boyle Heights Beat(opens in a new tab),https://boyleheightsbeat.com/father-toddler-reunited-cypress-park-los-angeles-immigration-raid/
11/04/2025,"Cypress Park, CA","Concerning Use of Force, Concerning Arrest/Detention",Toddler among 6 taken by immigration agents in Cypress Park(opens in a new tab),https://boyleheightsbeat.com/immigration-agents-descend-cypress-park-home-depot/
11/04/2025,"Allston, MA",Concerning Arrest/Detention,Allston Car Wash employees still in federal custody after ICE raid - Boston.com(opens in a new tab),https://www.boston.com/news/local-news/2025/11/09/allston-car-wash-employees-still-in-federal-custody-after-ice-raid/
11/04/2025,"Little Rock, AR",Concerning Arrest/Detention,Little Rock woman says ICE targeted her husband due to her activism - Arkansas Times(opens in a new tab),https://arktimes.com/arkansas-blog/2025/11/07/little-rock-woman-says-ice-targeted-her-husband-due-to-her-activism
11/03/2025,"Redmond, WA",Concerning Arrest/Detention,Indigenous actor Elaine Miles says ICE called her tribal ID 'fake' - The Seattle Times(opens in a new tab),https://www.seattletimes.com/seattle-news/indigenous-actress-elaine-miles-says-ice-called-her-tribal-id-fake/
11/03/2025,"Redmond, WA",Concerning Use of Force,ICE arrests multiple people in Redmond - King5 NBC News(opens in a new tab),https://www.king5.com/article/news/community/facing-race/washington-immigration/ice-arrests-multiple-people-redmond/281-ff97f1cb-2ee0-42da-972a-65fd8df1a8d2
11/03/2025,"Bellingham, WA","Concerning Arrest/Detention, Enforcement Action at a Sensitive Location","ICE arrests two men near courthouses in Bellingham, apparently violating state law - Cascadia Daily News(opens in a new tab)",https://www.cascadiadaily.com/2025/nov/26/ice-arrests-two-men-near-courthouses-in-bellingham-apparently-violating-state-law/
11/02/2025,"Melrose Park, IL",Concerning Use of Force,Suburban man hospitalized after allegedly being struck during ICE arrest - Chicago Sun-Times(opens in a new tab),https://chicago.suntimes.com/immigration/2025/11/02/suburban-man-arrest-ice-hospitalized
11/01/2025,", MD","Concerning Arrest/Detention, Concerning Deportation",Woman deported from Maryland shown on video dragged in Ghana – NBC4 Washington(opens in a new tab),https://www.nbcwashington.com/investigations/woman-deported-from-maryland-shown-on-video-being-dragged-in-ghana/4018734/
10/31/2025,"Albany Park, IL","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen","On Halloween, 'state-sponsored terror' in Chicago and the North Suburbs - The Chicago Tribune(opens in a new tab)",https://www.chicagotribune.com/2025/10/31/chicag-halloween-immigration-raids-evanston/
10/31/2025,"Evanston Park, IL","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen",Federal agents arrest 3 US citizens after crash during immigration operation in Evanston - ABC News Chicago(opens in a new tab),https://abc7chicago.com/post/ice-evanston-today-news-cook-county-officials-speak-federal-immigration-agents-reportedly-area-halloween/18095995/
10/30/2025,"Ontario, CA","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen","California Man Shot by ICE Was Not Trying to Run Over Agent, Lawyers Say - The New York Times(opens in a new tab)",https://www.nytimes.com/2025/11/03/us/ontario-ice-agent-shooting.html
10/30/2025,"Bellingham, WA","Concerning Arrest/Detention, Enforcement Action at a Sensitive Location","ICE arrests two men near courthouses in Bellingham, apparently violating state law - Cascadia Daily News(opens in a new tab)",https://www.cascadiadaily.com/2025/nov/26/ice-arrests-two-men-near-courthouses-in-bellingham-apparently-violating-state-law/
10/29/2025,"Aurora, IL","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen",Shocking moment ICE 'fires' at US citizen begging: 'I’ve got kids in my car' - The Mirror U.S.(opens in a new tab),https://www.msn.com/en-us/news/us/shocking-moment-ice-fires-at-us-citizen-begging-i-ve-got-kids-in-my-car/ar-AA1PwmWE?ocid=BingNewsVerp
10/29/2025,"Woodbridge, NJ",Concerning Arrest/Detention,"High school grad working to pay for college swept up in ICE raid. ‘He was scared,’ mom said. - nj.com(opens in a new tab)",https://www.msn.com/en-us/news/us/high-school-grad-working-to-pay-for-college-swept-up-in-ice-raid-he-was-scared-mom-said/ar-AA1QaA0l?ocid=BingNewsSerp
10/29/2025,"Los Angeles, CA",Concerning Arrest/Detention,39-year-old man taken into ICE custody during green card interview in LA - ABC 7(opens in a new tab),https://abc7.com/post/39-year-old-man-us-he-was-3-months-taken-ice-during-green-card-interview/18241264/
10/29/2025,"Syracuse, NY",Enforcement Action at a Sensitive Location,"2 SUNY Upstate Hospital workers are detained by ICE at immigration hearing, unions say - syracuse.com(opens in a new tab)",https://www.syracuse.com/news/2025/10/2-suny-upstate-hospital-workers-are-detained-by-ice-at-immigration-hearing-unions-say.html
10/28/2025,"Durango, CO",Concerning Arrest/Detention,"Hundreds protest outside ICE building in Durango after 2 children, father detained - The Colorado Sun(opens in a new tab)",https://coloradosun.com/2025/10/28/protest-ice-detain-two-children-father-durango/
10/28/2025,"Durango, CO",Concerning Use of Force,Masked Officer Throws Protester Down Hill Outside of Colorado ICE Facility - Denver Westword(opens in a new tab),https://www.westword.com/news/masked-officer-throws-hurts-woman-colorado-ice-facility-40798245/
10/28/2025,"Dallas, TX",Concerning Arrest/Detention,Family of Arlington man detained by ICE pleads for his release as son's health fails - Dallas Morning News(opens in a new tab),https://www.msn.com/en-us/health/other/family-of-arlington-man-detained-by-ice-demands-release-as-his-son-s-health-fails/ar-AA1Tj172?ocid=BingNewsSerp
10/27/2025,"Gresham, OR","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen",ICE detains U.S. citizen for 7 hours after she photographed agents in Oregon - OregonLive(opens in a new tab),https://www.oregonlive.com/politics/2025/11/ice-detains-us-citizen-for-7-hours-after-she-photographed-agents-in-gresham.html
10/27/2025,"Durango, CO",Concerning Arrest/Detention,"Hundreds protest outside ICE building in Durango after 2 children, father detained - The Colorado Sun(opens in a new tab)",https://coloradosun.com/2025/10/28/protest-ice-detain-two-children-father-durango/
10/27/2025,"Harrisonburg, VA",Concerning Arrest/Detention,Harrisonburg mother 'aggressively detained' in front of teenage daughter by federal agents - WHSV(opens in a new tab),https://www.whsv.com/video/2025/10/29/harrisonburg-mother-aggressively-detained-front-teenage-daughter-by-federal-agents/
10/26/2025,"Addison, IL",Concerning Use of Force,Feds break car window to detain woman at Addison grocery store – NBC Chicago(opens in a new tab),https://www.nbcchicago.com/news/local/video-shows-federal-agent-break-car-window-to-detain-woman-outside-grocery-store/3843752/
10/26/2025,"Chicago, IL",Concerning Use of Force,"ICE and Border Patrol's use of tear gas injures, sickens and tests the law - The Washington Post(opens in a new tab)",https://www.washingtonpost.com/immigration/2025/11/01/dhs-ice-border-patrol-chicago-tear-gas/
10/25/2025,"Aurora, IL","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen","US citizens detained by feds speak out after protesters confront agents at Aurora school, hospital - ABC 7 Chicago(opens in a new tab)",https://www.msn.com/en-us/news/us/us-citizens-detained-by-feds-speak-out-after-protesters-confront-agents-at-aurora-school-hospital/ar-AA1PeV0d?ocid=BingNewsVerp
10/25/2025,"Chicago, IL",Concerning Use of Force,ICE in Chicago: Tear gas deployed in Irving Park and Avondale - Chicago Tribune(opens in a new tab),https://www.chicagotribune.com/2025/10/25/chicago-tear-gas-irving-park/
10/25/2025,"Houston, TX",Concerning Arrest/Detention,Episcopal Diocese calls for justice for Texas priest detained by ICE - San Antonio Current(opens in a new tab),https://www.sacurrent.com/news/texas-news/episcopal-diocese-of-texas-calls-for-justice-for-lone-star-state-priest-detained-by-ice/
10/25/2025,"Chicago, IL","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen","US citizen, 67, suffers broken ribs after Border Patrol agents drag him out of car in shocking video: report - NY Post(opens in a new tab)",https://nypost.com/2025/10/29/us-news/us-citizen-suffers-broken-ribs-after-border-patrol-agents-drag-him-out-of-car-while-driving-into-blocked-off-street-in-immigration-operation-during-chicago-childrens-halloween-parade/
10/24/2025,"Chicago, IL",Concerning Use of Force,"Immigration enforcement on North Side leads to tense confrontations, soft lockdowns at schools - ABC7 Chicago(opens in a new tab)",https://abc7chicago.com/post/ice-chicago-news-demonstrators-broadview-facility-dhs-defends-apparent-tear-gas-use-little-village-protesters/18066452/
10/24/2025,"Denver, CO",Concerning Arrest/Detention,"Fifth grade teacher detained by ICE along with family, says school - CBS Colorado(opens in a new tab)",https://www.cbsnews.com/colorado/news/fifth-grade-teacher-family-douglas-county-colorado-detained-ice/?intcid=CNR-02-0623
10/23/2025,"Gary, IN","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen","Siblings shaken after feds raid Gary home, arrest family — 'They punched me in the eye' - WBEZ Chicago(opens in a new tab)",https://www.wbez.org/immigration/2025/10/30/gary-family-arrested-ice-indiana-immigration
10/23/2025,"Houston, TX","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen",U.S.-born Houston teen says ICE agents beat him and his father during stop - MSN(opens in a new tab),https://www.msn.com/en-us/news/other/u-s-born-houston-teen-says-ice-agents-beat-him-and-his-father-during-stop/ar-AA1Piqml?ocid=BingNewsSerp
10/23/2025,"Chicago, IL","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen","Federal agents detain high school student in Little Village, deploy tear gas in faceoff with protesters - Chicago Sun-Times(opens in a new tab)",https://chicago.suntimes.com/immigration/2025/10/23/feds-make-arrests-deploy-tear-gas-during-face-off-with-protesters-near-little-village-discount-mall
10/23/2025,"New York City, NY",Concerning Arrest/Detention,16-year-old boy detained by ICE in NYC after scheduled immigration appointment - CBS New York(opens in a new tab),https://www.cbsnews.com/newyork/news/16-year-old-boy-detained-by-ice-nyc/?intcid=CNR-02-0623
10/23/2025,"Chicago, IL","Concerning Use of Force, U.S. Citizen","Federal Agent Told Combat Veteran 'You're Dead, Liberal' At Little Village Encounter, Attorneys Say - Book Club Chicago(opens in a new tab)",https://blockclubchicago.org/2025/10/28/federal-agent-told-combat-veteran-youre-dead-liberal-during-ice-encounter-lawsuit-alleges/
10/23/2025,"Chicago, IL","Concerning Use of Force, U.S. Citizen",Border Patrol chief accused of violating judge's order after video shows him throwing apparent tear gas canister - CNN(opens in a new tab),https://www.cnn.com/us/live-news/national-guard-deployment-immigration-raids-10-23-25-hnk?post-id=cmh3z59gc00003b6n43ldjz6r
10/23/2025,"New York City, NY",Concerning Arrest/Detention,"A Woman Self-Deported, Hoping to Shield Her Son. He Was Detained Anyway.(opens in a new tab)",https://www.nytimes.com/2025/10/24/nyregion/teenager-detained-mother-self-deported.html?smid=nytcore-ios-share&referringSource=articleShare
10/22/2025,"Avondale, AZ",Concerning Use of Force,"ICE says an immigrant rammed agent's car, witnesses say otherwise - AZ Mirror(opens in a new tab)",https://azmirror.com/2025/10/24/ice-says-an-immigrant-rammed-agents-car-witnesses-say-otherwise/
10/22/2025,"Chicago, IL","Concerning Arrest/Detention, U.S. Citizen","Tensions rise as driver attempts to hit federal agents in Chicago, at least 7 detained - WGN9(opens in a new tab)",https://wgntv.com/news/operation-midway-blitz/tensions-rise-as-driver-attempts-to-hit-federal-agents-in-chicago-at-least-7-detained/
10/21/2025,"Chicago, IL","Enforcement Action at a Sensitive Location, Concerning Arrest/Detention",Immigration agents arrest CPS vendor outside North Side school - Chicago Sun-Times(opens in a new tab),https://chicago.suntimes.com/immigration/2025/10/21/immigration-arrest-decatur-classical-school
10/21/2025,"New York City, NY","U.S. Citizen, Concerning Arrest/Detention","4 US citizens arrested during ICE crackdown on NYC's Canal Street, congressman says - ABC News(opens in a new tab)",https://abcnews.go.com/US/nyc-residents-increase-ice-arrests-after-crackdown-canal/story?id=126763379
10/21/2025,"Los Angeles, CA",Concerning Use of Force,Shooting of suspect and deputy U.S. marshal highlights ICE aggression - Los Angeles Times(opens in a new tab),https://www.latimes.com/california/story/2025-10-22/tiktok-streamer-ice-arrest
10/21/2025,"Berwyn, IL","U.S. Citizen, Concerning Use of Force",Illinois state representative describes ICE encounter with gun - CNN(opens in a new tab),https://www.cnn.com/2025/10/22/us/video/illinois-state-representative-hoan-huynh-says-ice-pointed-gun-vrtc
10/20/2025,"Oak Park, IL","Use of Force, Arrest/Detention, U.S. Citizen",Oak Park attorney detained by ICE outside elementary school  - Wednesday Journal(opens in a new tab),https://www.oakpark.com/2025/10/21/oak-park-attorney-detained-by-ice-outside-elementary-school/
10/20/2025,"Chicago, IL","Concerning Use of Force, U.S. Citizen",ICE Agent Points Gun at Pregnant Woman During Arrest - Newsweek(opens in a new tab),https://www.newsweek.com/ice-agent-pregnant-woman-firearm-illinois-10922067
10/20/2025,"San Diego, CA","Enforcement Action at a Sensitive Location, Concerning Arrest/Detention",Asylum-seekers now held for days in a downtown San Diego basement - Times of San Diego(opens in a new tab),https://timesofsandiego.com/politics/2025/10/20/asylum-seekers-held-basement-san-diego-ice/
10/20/2025,"Chicago, IL",Concerning Arrest/Detention,Her baby was in the NICU. She was in ICE detention. - The 19th(opens in a new tab),https://19thnews.org/2025/12/postpartum-immigrant-detention-ice/
10/19/2025,"Wilder, ID","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen","105 arrested in Wilder ICE raid, questions remain about tactics used - Boise State Public Radio(opens in a new tab)",https://www.boisestatepublicradio.org/news/2025-10-20/fbi-ice-raid-wilder-idaho-protest-aclu-poder
10/18/2025,"Portland, OR",Concerning Use of Force,Portland Police Chief Reveals Troops Tear-Gassed Protest by Accident - The New Republic(opens in a new tab),https://newrepublic.com/post/202443/portland-police-chief-donald-trump-protest-tear-gas-accident
10/16/2025,"Portland, OR","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen",Comedian Vows to Sue Over His ICE Arrest While Dressed as a Giraffe - Daily Beast(opens in a new tab),https://www.thedailybeast.com/comedian-vows-to-sue-over-his-portland-ice-arrest-while-dressed-as-a-giraffe/
10/16/2025,"Oxnard, CA",Concerning Use of Force,Activist says video shows ICE rammed his truck. ICE says the opposite - Los Angeles Times(opens in a new tab),https://www.latimes.com/california/story/2025-10-16/agents-accuse-activists-of-slamming-into-their-vehicle
10/16/2025,"Portland, OR","Concerning Use of Force, U.S. Citizen",Residents report health impacts as tear gas use continues near Portland ICE facility - KATU(opens in a new tab),https://katu.com/news/local/residents-report-health-impacts-as-tear-gas-use-continues-near-portland-ice-facility
10/15/2025,"Hamden, CT",Concerning Arrest/Detention,"ICE raid at Hamden car wash created 'chaos in our town', official says - New Haven Register(opens in a new tab)",https://www.msn.com/en-us/news/us/ice-raid-at-hamden-car-wash-created-chaos-in-our-town-official-says/ar-AA1OxruR?ocid=BingNewsVerp
10/15/2025,"Gresham, OR",Concerning Use of Force,"ICE in Oregon: Pointing rifles at family, stopping teens at gunpoint, pinning man during arrest - The Oregonian(opens in a new tab)",https://www.oregonlive.com/politics/2025/10/ice-in-oregon-pointing-rifles-at-family-stopping-minors-at-gunpoint-laying-on-top-of-man-during-arrest.html
10/15/2025,"Portland, OR",Concerning Arrest/Detention,A Portland family says their Dad was wrongly arrested by ICE. Now He's Lost in Immigration Detention  - Reason(opens in a new tab),https://reason.com/2025/10/30/a-portland-family-says-their-dad-was-wrongly-arrested-by-ice-now-hes-lost-in-immigration-detention/
10/15/2025,"Memphis, TN","Concerning Arrest/Detention, U.S. Citizen","""I Don't Feel Safe"": Black Memphis Residents Report Harassment by Trump's Police Task Force - ProPublica(opens in a new tab)",https://www.propublica.org/article/memphis-safe-task-force-police-harassment
10/14/2025,"Chicago, IL","Concerning Use of Force, U.S. Citizen, Concerning Arrest/Detention","Agents tackle US citizen after East Side operations leads to crash, spills into Walgreens - ABC7 Chicago(opens in a new tab)",https://abc7chicago.com/post/chicago-crash-massive-law-enforcement-presence-south-avenue-east-side-live/18005825/
10/14/2025,"Chicago, IL","Concerning Use of Force, Enforcement Action at a Sensitive Location, U.S. Citizen",ICE Released Tear Gas Outside a Chicago Elementary School - The Intercept(opens in a new tab),https://theintercept.com/2025/10/19/chicago-schools-ice-national-guard-trump/
10/14/2025,"Chicago, IL","Concerning Arrest/Detention, U.S. Citizen","US Citizen Says ICE Detained Her, Said Her Passport 'Isn't Real' - Newsweek(opens in a new tab)",https://www.newsweek.com/us-citizen-says-ice-detained-her-said-her-passport-isnt-real-10875767
10/14/2025,"Chicago, IL","Concerning Use of Force, U.S. Citizen, Concerning Arrest/Detention","15-Year-Old U.S. Citizen Taken By Feds For 5 Hours After East Side Protest, Attorney Says - Block Club Chicago(opens in a new tab)",https://blockclubchicago.org/2025/10/15/15-year-old-u-s-citizen-disappeared-for-5-hours-by-feds-after-east-side-protest-attorney-says/?utm_content=buffer8e915&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer
10/14/2025,"Chicago, IL",Concerning Use of Force,Chase involving federal agents led to a crash and angry community response in Chicago - CNN(opens in a new tab),https://www.cnn.com/2025/10/14/us/chicago-ice-protesters-crash
10/14/2025,"Portland, OR","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen","Blind man handcuffed, dragged by federal agents at ICE facility, he says - KGW8(opens in a new tab)",https://www.kgw.com/article/news/local/protests/dhs-blind-protester-ice-facility/283-fb7e85ec-3009-4096-805b-bb14df6fc1fe
10/12/2025,"Atlantic Highlands, NJ",Concerning Arrest/Detention,"New Jersey restaurant owner, father of 3 Ruperto Vicens Marquez detained by ICE despite work authorization - ABC7 Chicago(opens in a new tab)",https://abc7chicago.com/post/new-jersey-restaurant-owner-father-3-ruperto-vicens-marquez-detained-ice-despite-work-authorization/18088760/
10/10/2025,"Chicago, IL","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen",Chicago Producer's Arrest by Border Patrol Agents Raises Legal Questions - Newsweek(opens in a new tab),https://www.newsweek.com/chicago-producer-arrest-border-patrol-agents-raises-legal-questions-10864909
10/10/2025,"Chicago, IL","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen",US Citizen Dragged From Car by Border Patrol in Chicago - Newsweek(opens in a new tab),https://www.newsweek.com/us-citizen-dragged-car-border-patrol-chicago-10924948
